Image,Particle_ID,Final_Status,Status_By_Area_Diameter,Status_By_Roundness,Status_By_Solidity,Status_By_Black_Filter,Status_By_Outer_Yellow_Ring,Status_By_Background_Contrast,Calibration_Mode,Threshold_Method,Area_um2,Diameter_from_area_um,Diameter_Feret_um,Circularity,Roundness,Solidity,X_um,Y_um,Black_Center_Percent,Yellow_Ring_Flagged_Angles_Percent,Yellow_Ring_Longest_Arc_Percent,Mean_R,Mean_G,Mean_B,Background_Mean_RGB,Center_Background_Contrast,ScaleBar_px,Um_per_px
test picture.tif,1,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4401.592,74.862,79.027,0.861,0.938,0.963,704.652,45.672,100.000,0.000,0.000,17.6,18.2,31.9,124.2,101.7,99.000,1.010101
test picture.tif,2,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4480.155,75.527,79.958,0.885,0.935,0.973,999.684,55.959,100.000,0.000,0.000,15.8,17.5,30.3,126.1,104.9,99.000,1.010101
test picture.tif,3,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4845.424,78.545,82.662,0.887,0.938,0.975,469.591,82.710,100.000,0.000,0.000,16.6,18.3,33.9,133.9,111.0,99.000,1.010101
test picture.tif,4,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4561.779,76.212,79.721,0.886,0.948,0.973,261.902,83.334,100.000,0.000,0.000,16.5,17.5,31.8,139.7,117.7,99.000,1.010101
test picture.tif,5,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4503.622,75.724,80.314,0.895,0.913,0.976,1071.201,100.123,100.000,1.389,1.389,15.1,16.3,29.6,123.9,103.6,99.000,1.010101
test picture.tif,6,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4449.546,75.268,77.784,0.905,0.978,0.977,654.779,133.836,100.000,0.000,0.000,17.5,19.0,33.3,147.2,123.9,99.000,1.010101
test picture.tif,7,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4192.429,73.061,77.172,0.887,0.945,0.970,183.384,157.642,100.000,0.000,0.000,16.0,16.7,31.9,110.2,88.7,99.000,1.010101
test picture.tif,8,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4041.424,71.734,76.053,0.899,0.925,0.974,1125.154,163.563,100.000,0.000,0.000,16.0,16.9,33.7,131.6,109.4,99.000,1.010101
test picture.tif,9,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4349.556,74.418,79.085,0.883,0.920,0.970,253.281,175.747,100.000,1.389,1.389,16.4,17.0,34.1,125.1,102.6,99.000,1.010101
test picture.tif,10,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4771.962,77.948,80.871,0.877,0.968,0.975,951.410,197.622,100.000,0.000,0.000,15.2,17.9,29.9,149.2,128.2,99.000,1.010101
test picture.tif,11,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4305.683,74.042,76.047,0.907,0.986,0.976,1280.599,202.334,100.000,1.389,1.389,14.6,16.6,33.4,147.0,125.4,99.000,1.010101
test picture.tif,12,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4818.896,78.330,86.149,0.813,0.930,0.953,369.250,227.507,100.000,0.000,0.000,16.3,17.7,33.2,140.7,118.3,99.000,1.010101
test picture.tif,13,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,3911.846,70.574,76.695,0.889,0.902,0.975,152.903,225.667,100.000,0.000,0.000,15.7,17.1,33.4,103.9,81.8,99.000,1.010101
test picture.tif,14,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4376.084,74.645,80.060,0.894,0.909,0.972,67.053,234.702,100.000,0.000,0.000,17.2,18.8,34.3,122.7,99.3,99.000,1.010101
test picture.tif,15,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4955.617,79.434,83.601,0.893,0.931,0.977,594.361,238.896,100.000,0.000,0.000,17.2,18.0,36.8,152.5,128.5,99.000,1.010101
test picture.tif,16,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4127.130,72.490,75.758,0.870,0.955,0.972,483.407,243.278,100.000,0.000,0.000,17.0,17.8,33.5,132.8,110.1,99.000,1.010101
test picture.tif,17,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,5041.322,80.117,84.475,0.891,0.935,0.977,1103.133,255.000,100.000,0.000,0.000,14.6,16.6,33.0,137.0,115.5,99.000,1.010101
test picture.tif,18,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4254.668,73.602,79.085,0.879,0.978,0.973,151.656,304.637,100.000,0.000,0.000,16.3,17.1,31.6,90.1,68.5,99.000,1.010101
test picture.tif,19,invalid_roundness,valid,invalid,valid,black,valid,valid,auto_fixed_first_image,Otsu,3643.506,68.111,88.163,0.708,0.590,0.946,211.864,316.706,100.000,0.000,0.000,15.7,17.2,34.0,78.1,55.8,99.000,1.010101
test picture.tif,20,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4218.957,73.292,79.394,0.880,0.878,0.972,390.643,315.349,100.000,0.000,0.000,17.7,18.6,34.3,146.0,122.5,99.000,1.010101
test picture.tif,21,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4417.917,75.000,79.670,0.865,0.921,0.971,503.855,318.550,100.000,0.000,0.000,17.6,18.9,31.9,137.7,114.9,99.000,1.010101
test picture.tif,22,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4200.592,73.132,76.794,0.884,0.962,0.971,879.060,322.906,100.000,1.389,1.389,16.1,16.7,35.9,134.0,111.2,99.000,1.010101
test picture.tif,23,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4305.683,74.042,79.721,0.863,0.960,0.956,272.898,330.926,100.000,1.389,1.389,15.5,17.4,33.4,128.5,106.4,99.000,1.010101
test picture.tif,24,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4113.866,72.374,78.033,0.908,0.891,0.977,706.378,333.237,100.000,0.000,0.000,16.9,18.3,37.4,151.7,127.5,99.000,1.010101
test picture.tif,25,invalid_roundness,valid,invalid,valid,black,valid,valid,auto_fixed_first_image,Otsu,6809.509,93.114,106.718,0.791,0.767,0.962,1344.392,349.563,100.000,0.000,0.000,14.2,16.0,36.7,120.7,98.4,99.000,1.010101
test picture.tif,26,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4154.678,72.732,79.721,0.832,0.905,0.965,1114.734,347.284,100.000,4.167,1.389,15.8,16.6,35.0,139.1,116.6,99.000,1.010101
test picture.tif,27,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4570.962,76.288,79.824,0.902,0.956,0.976,89.303,358.851,100.000,0.000,0.000,17.2,18.6,35.7,129.7,105.9,99.000,1.010101
test picture.tif,28,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,3672.074,68.377,74.337,0.888,0.875,0.969,939.669,362.347,100.000,0.000,0.000,15.6,16.4,34.4,111.3,89.2,99.000,1.010101
test picture.tif,29,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4402.612,74.870,78.249,0.889,0.953,0.974,1199.766,377.322,100.000,0.000,0.000,14.8,16.2,35.3,143.9,121.8,99.000,1.010101
test picture.tif,30,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,5103.561,80.611,86.096,0.892,0.908,0.977,172.441,397.597,100.000,0.000,0.000,15.0,17.0,36.3,128.7,105.9,99.000,1.010101
test picture.tif,31,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4624.018,76.730,81.437,0.896,0.923,0.974,783.942,397.590,100.000,0.000,0.000,15.1,16.7,34.5,131.6,109.5,99.000,1.010101
test picture.tif,32,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4589.328,76.442,82.315,0.888,0.888,0.976,417.088,417.055,100.000,0.000,0.000,15.5,17.1,34.8,156.0,133.5,99.000,1.010101
test picture.tif,33,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4517.906,75.844,79.567,0.900,0.952,0.976,922.868,429.985,100.000,0.000,0.000,15.1,16.5,34.3,132.3,110.4,99.000,1.010101
test picture.tif,34,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4156.719,72.750,77.469,0.896,0.925,0.975,726.894,440.849,100.000,0.000,0.000,15.3,17.0,35.2,132.7,110.2,99.000,1.010101
test picture.tif,35,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4309.764,74.077,78.567,0.897,0.914,0.977,1057.037,448.247,100.000,0.000,0.000,15.7,17.0,34.7,151.6,129.1,99.000,1.010101
test picture.tif,36,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4260.790,73.655,75.912,0.914,0.989,0.977,525.828,476.157,100.000,0.000,0.000,14.7,16.4,35.4,138.6,116.4,99.000,1.010101
test picture.tif,37,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4914.805,79.106,83.326,0.905,0.928,0.977,284.788,484.605,100.000,0.000,0.000,14.8,16.1,34.9,145.9,124.0,99.000,1.010101
test picture.tif,38,outer_yellow_ring,valid,valid,valid,black,invalid,valid,auto_fixed_first_image,Otsu,7361.494,96.814,106.253,0.811,0.888,0.968,1146.339,526.917,100.000,20.833,12.500,14.6,15.4,34.2,152.1,130.7,99.000,1.010101
test picture.tif,39,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4251.607,73.575,77.620,0.881,0.938,0.975,961.968,523.104,100.000,0.000,0.000,14.5,16.1,36.4,135.3,112.9,99.000,1.010101
test picture.tif,40,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4803.591,78.206,82.865,0.890,0.926,0.976,363.480,534.334,100.000,0.000,0.000,14.4,16.9,35.9,147.7,125.3,99.000,1.010101
test picture.tif,41,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4293.439,73.936,77.330,0.902,0.969,0.974,546.022,552.431,100.000,0.000,0.000,15.1,16.5,34.0,141.0,119.2,99.000,1.010101
test picture.tif,42,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4736.251,77.656,82.092,0.892,0.929,0.976,1011.000,585.436,100.000,0.000,0.000,14.4,16.5,36.1,137.2,114.9,99.000,1.010101
test picture.tif,43,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4922.967,79.171,82.433,0.899,0.968,0.976,780.458,586.056,100.000,0.000,0.000,14.7,17.3,32.3,156.4,134.9,99.000,1.010101
test picture.tif,44,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4091.419,72.176,76.827,0.897,0.922,0.975,886.887,595.722,100.000,0.000,0.000,16.1,16.5,35.4,152.2,129.6,99.000,1.010101
test picture.tif,45,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4596.470,76.501,81.092,0.879,0.921,0.975,359.624,648.332,100.000,0.000,0.000,16.0,17.3,34.2,159.0,136.5,99.000,1.010101
test picture.tif,46,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4647.485,76.924,81.593,0.895,0.914,0.977,520.244,652.610,100.000,0.000,0.000,15.1,16.8,32.5,141.9,120.5,99.000,1.010101
test picture.tif,47,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4408.734,74.922,80.435,0.892,0.891,0.975,232.448,677.067,100.000,0.000,0.000,15.6,17.9,33.1,139.0,116.9,99.000,1.010101
test picture.tif,48,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4586.267,76.416,78.665,0.885,0.980,0.975,82.344,697.386,100.000,0.000,0.000,16.2,18.2,36.4,159.0,135.4,99.000,1.010101
test picture.tif,49,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4862.769,78.686,85.948,0.903,0.867,0.979,783.008,707.221,100.000,0.000,0.000,15.2,16.8,30.1,140.9,120.2,99.000,1.010101
test picture.tif,50,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4051.627,71.824,77.172,0.886,0.893,0.975,561.848,721.639,100.000,0.000,0.000,16.3,17.6,36.1,144.4,121.1,99.000,1.010101
test picture.tif,51,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4292.419,73.928,79.182,0.906,0.913,0.979,882.170,729.817,100.000,0.000,0.000,14.7,16.4,33.6,128.4,106.8,99.000,1.010101
test picture.tif,52,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4952.556,79.409,83.197,0.908,0.955,0.980,203.447,753.236,100.000,0.000,0.000,15.0,16.9,33.8,136.7,114.8,99.000,1.010101
test picture.tif,53,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4697.480,77.337,80.206,0.904,0.959,0.979,1273.108,753.158,100.000,0.000,0.000,14.2,16.5,35.6,153.6,131.4,99.000,1.010101
test picture.tif,54,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4234.262,73.425,76.927,0.893,0.945,0.974,1016.774,763.018,100.000,0.000,0.000,15.1,17.2,33.5,153.4,131.4,99.000,1.010101
test picture.tif,55,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4462.810,75.381,77.469,0.893,0.974,0.976,761.432,789.977,100.000,0.000,0.000,14.6,16.3,35.7,146.6,124.4,99.000,1.010101
test picture.tif,56,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4359.759,74.505,78.723,0.893,0.926,0.975,471.935,794.779,100.000,0.000,0.000,15.8,17.0,34.1,148.9,126.6,99.000,1.010101
test picture.tif,57,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4670.952,77.118,81.418,0.899,0.929,0.977,1165.023,815.438,100.000,0.000,0.000,14.4,16.7,32.0,142.7,121.7,99.000,1.010101
test picture.tif,58,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,5079.074,80.417,84.710,0.907,0.927,0.980,211.818,851.350,100.000,0.000,0.000,15.4,17.0,31.8,155.5,134.1,99.000,1.010101
test picture.tif,59,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4431.180,75.113,81.312,0.897,0.888,0.975,412.259,859.311,100.000,0.000,0.000,15.5,16.7,33.2,152.6,130.8,99.000,1.010101
test picture.tif,60,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4445.465,75.234,78.788,0.900,0.943,0.976,747.452,915.755,100.000,0.000,0.000,16.0,17.9,31.5,159.9,138.1,99.000,1.010101
test picture.tif,61,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4335.272,74.296,77.627,0.913,0.942,0.979,98.855,938.633,100.000,0.000,0.000,15.2,17.1,32.9,141.0,119.2,99.000,1.010101
test picture.tif,62,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4465.871,75.406,78.249,0.892,0.959,0.976,475.913,944.607,100.000,0.000,0.000,15.2,16.4,31.6,158.8,137.8,99.000,1.010101
test picture.tif,63,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4324.049,74.199,78.580,0.898,0.924,0.974,354.360,955.938,100.000,0.000,0.000,15.4,16.8,31.9,162.1,140.7,99.000,1.010101
test picture.tif,64,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4536.272,75.998,81.874,0.903,0.890,0.979,885.460,988.339,100.000,0.000,0.000,16.0,17.7,33.5,158.8,136.4,99.000,1.010101
test picture.tif,65,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4148.556,72.678,76.927,0.909,0.933,0.977,87.108,1011.823,100.000,0.000,0.000,15.4,16.8,33.2,119.5,97.7,99.000,1.010101
